name,length,count_sentences,count_tokens,NNP,VBZ,NN,IN,JJ,NNS,TO,VB,VBN,DT,CC,.,PRP,MD,CD,",",VBD,POS,VBP,VBG,JJR,NNPS,``,'',:,RB,WRB,WDT,PRP$,RP,RBR,EX,(,),WP,PDT,JJS,UH,RBS,WP$,$,FW,SYM,#,length_to_sentences,length_to_tokens
001.txt,2601,19,511,40,8.0,53,51,24,48,18,22.0,20,39,10.0,19,20.0,14.0,15.0,18,19.0,4.0,9.0,11.0,3.0,4.0,8.0,7.0,3.0,14,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.89473684210526,5.090019569471624
002.txt,2326,19,425,44,11.0,62,52,33,26,13,15.0,12,44,7.0,19,9.0,6.0,3.0,7,14.0,0.0,4.0,5.0,2.0,2.0,9.0,8.0,1.0,10,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.42105263157895,5.472941176470588
003.txt,3109,26,604,30,16.0,76,71,30,62,13,14.0,14,46,18.0,26,14.0,5.0,15.0,19,16.0,4.0,18.0,19.0,3.0,3.0,14.0,9.0,3.0,26,2.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.57692307692308,5.147350993377484
004.txt,1471,13,277,29,8.0,36,27,19,6,9,14.0,14,30,5.0,13,10.0,8.0,5.0,5,6.0,1.0,6.0,1.0,2.0,0.0,3.0,1.0,1.0,15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.15384615384616,5.310469314079422
005.txt,2860,24,579,73,8.0,69,55,29,19,16,36.0,9,48,6.0,24,26.0,17.0,4.0,17,28.0,7.0,12.0,11.0,2.0,0.0,9.0,7.0,7.0,22,0.0,2.0,8.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.16666666666667,4.939550949913644
006.txt,2008,15,386,33,6.0,63,41,23,11,13,19.0,13,56,8.0,15,9.0,6.0,2.0,11,24.0,2.0,2.0,1.0,1.0,0.0,4.0,4.0,3.0,11,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.86666666666667,5.2020725388601035
007.txt,2990,21,593,84,15.0,60,50,31,25,18,19.0,5,50,21.0,21,29.0,5.0,5.0,20,29.0,7.0,12.0,15.0,0.0,5.0,13.0,12.0,6.0,18,3.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.38095238095238,5.042158516020236
008.txt,3117,23,628,58,6.0,51,69,31,54,12,12.0,15,55,17.0,23,34.0,2.0,9.0,24,39.0,5.0,18.0,7.0,2.0,3.0,15.0,15.0,9.0,15,3.0,1.0,9.0,2.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,135.52173913043478,4.963375796178344
009.txt,3198,32,616,66,9.0,91,60,47,23,12,13.0,21,39,17.0,32,24.0,3.0,3.0,18,25.0,9.0,11.0,17.0,1.0,0.0,12.0,9.0,5.0,32,0.0,2.0,6.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9375,5.191558441558442
010.txt,1177,10,206,21,8.0,22,27,17,11,9,15.0,10,18,9.0,10,1.0,8.0,2.0,2,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.7,5.713592233009709
