name,length,count_paragraphs,count_sentences,count_tokens,keywords
001.txt,2601,6,19,511,pay:maternity:months:said:would:plans:six:new:mothers:hewitt
002.txt,2326,6,19,425,information:said:freedom:mr:new:thomas:commissioner:disclosure:laws:rules
003.txt,3109,8,26,604,women:six:hewitt:sexism:jobs:men:months:work:career:pay
004.txt,1471,5,13,277,blackpool:party:manchester:labour:conference:much:autumn:host:annual:event
005.txt,2860,8,24,579,would:mr:brown:balls:said:election:chancellor:labour:stability:budget
006.txt,2008,4,15,386,deal:said:dome:first:attempt:sell:millennium:report:government:sale
007.txt,2990,7,21,593,blair:mr:labour:said:fox:tory:election:going:party:told
008.txt,3117,6,23,628,women:mps:said:sexist:told:male:researchers:mp:shocking:study
009.txt,3198,7,32,616,campbell:mr:labour:tbwa:said:sent:newsnight:row:journalists:mistake
010.txt,1177,4,10,206,scottish:westminster:say:decision:whether:allow:glasgow:scotland:executive:new
011.txt,1647,5,16,322,howard:mr:said:mrs:fox:campaign:election:role:michael:visits
012.txt,2519,6,24,488,said:apology:blair:families:mr:people:conlon:maguire:would:two
013.txt,3270,8,25,651,mr:howard:tory:leader:says:would:people:could:asylum:michael
014.txt,2770,7,23,536,bill:would:said:blair:sunset:clause:mr:house:arrest:tories
015.txt,1015,4,8,176,gibraltar:future:rock:gibraltarians:spain:talks:straw:referendum:british:represent
016.txt,1505,4,11,268,social:shortages:committee:science:said:council:skills:key:research:needs
017.txt,996,4,8,182,deal:brown:said:nations:debt:mr:proposed:ministers:also:country
018.txt,1615,4,12,299,prince:auschwitz:straw:foreign:secretary:holocaust:said:commemoration:queen:service
019.txt,3708,7,27,719,said:mr:drinking:people:drunk:mcconnell:young:remark:get:scotland
020.txt,3315,5,25,632,government:said:tomlinson:diploma:plan:response:education:secondary:schools:put
021.txt,2859,8,22,569,mr:said:chancellor:brown:blair:next:report:economy:stability:would
022.txt,2523,6,20,483,tax:mr:said:would:labour:blair:plans:howard:asylum:processing
023.txt,2083,5,15,364,government:students:private:uk:committee:said:failed:scheme:university:courses
024.txt,1499,4,11,285,brown:africa:education:mr:trip:chancellor:wants:wednesday:said:primary
025.txt,1482,4,12,276,independent:immigration:body:said:would:migration:figures:government:like:watch
026.txt,1462,4,11,289,africa:commission:blair:report:would:relief:bob:geldof:well:debt
027.txt,4022,8,29,774,butler:lord:said:government:blair:cabinet:mr:much:country:thought
028.txt,1420,4,12,278,lib:mr:inquiry:say:oaten:said:blunkett:visa:nanny:dem
029.txt,2542,6,19,466,foreign:savings:staff:said:new:uk:embassies:money:straw:affected
030.txt,2285,5,20,399,school:education:pupils:truants:local:previous:penalty:problem:parents:attendance
031.txt,2842,7,22,518,murder:home:review:said:office:law:commission:mandatory:life:sentence
032.txt,2106,5,18,378,ban:said:supporters:alliance:hunting:demonstration:court:labour:protest:conference
033.txt,2781,6,22,509,baa:airport:plans:runway:heathrow:expansion:government:also:airports:stansted
034.txt,2647,5,20,508,law:mr:said:howard:change:burglars:householders:burglar:tory:force
035.txt,1413,4,11,254,eu:turkey:blair:talks:mr:also:france:turkish:prime:minister
