name,length,count_paragraphs,count_sentences,count_tokens,keywords
001x2.txt,2466,8,22,449,leave:working:government:paternity:parental:families:could:would:paid:ms
002x2.txt,3685,4,19,618,government:thomas:information:foi:emails:public:transparency:richard:regulations:accountability
003x2.txt,2934,6,21,491,women:hewitt:ms:equality:also:gender:eoc:diversity:uk:initiatives
004x2.txt,1441,4,13,274,party:labour:one:conference:move:political:new:events:tradition:annual
005x2.txt,2532,6,17,438,labour:balls:mr:ed:economy:election:growth:political:parties:believes
006x2.txt,1845,1,20,327,dome:millennium:many:nao:despite:financial:future:similar:report:revealed
007x2.txt,4282,1,31,786,blair:fox:party:mr:government:conservative:prime:minister:tories:cameron
008x2.txt,2783,1,30,487,within:mps:sexism:gender:women:government:equality:behavior:commons:report
009x2.txt,2414,5,17,425,campbell:mr:email:many:politics:newsnight:program:labour:onto:incident
010x2.txt,2579,8,18,438,gambling:casino:scottish:scotland:uk:resorts:casinos:glasgow:super:politics
011x2.txt,873,1,8,160,mrs:may:prime:election:theresa:minister:united:kingdom:announced:visiting
012x2.txt,1276,1,8,223,article:terrorism:prime:minister:attacks:blair:made:memorial:efforts:bbc
013x2.txt,3080,7,22,549,howard:mr:australia:immigration:documentary:australian:society:however:believes:politicians
014x2.txt,2305,1,22,391,bill:law:legislation:effective:could:government:necessary:prime:minister:house
015x2.txt,682,1,5,123,gibraltar:officials:british:government:announced:plans:talks:future:summit:london
016x2.txt,1730,5,9,290,government:data:address:major:problem:report:statisticians:social:science:uk
017x2.txt,1586,5,8,268,nations:countries:debt:towards:poverty:leaders:relief:group:pounds:year
018x2.txt,1280,4,8,220,prince:edward:holocaust:day:uk:delegation:poland:remembrance:buckingham:palace
019x2.txt,3943,17,24,699,scotland:alcohol:drinking:binge:mcconnell:comments:media:issue:strategy:country
020x2.txt,1930,7,13,333,system:new:qualification:may:students:diplomas:concerns:government:keeping:existing
021x2.txt,3051,1,20,572,us:labour:brexit:mr:uk:may:president:johnson:country:also
022x2.txt,1905,1,16,306,prime:minister:blair:would:questions:government:continued:nuclear:politicians:former
023x2.txt,1719,6,12,287,cost:despite:high:pounds:projects:may:institutions:title:scraped:low
024x2.txt,1358,3,9,249,africa:uk:visit:mr:issues:commitment:towards:year:orphanage:tanzania
025x2.txt,1955,6,10,305,immigration:roche:group:monitoring:migration:would:society:barbara:independent:secretary
026x2.txt,2141,6,14,379,africa:summit:commission:world:leaders:future:recommendations:former:secretary:state
027x2.txt,4158,7,38,763,iraq:war:government:public:us:report:mistakes:cheney:debate:way
028x2.txt,1675,4,10,283,immigration:sir:alan:mr:blunkett:report:buddæs:budd:investigation:acted
029x2.txt,1946,1,15,334,diplomatic:country:embassies:also:embassy:outsourcing:duties:local:changes:new
030x2.txt,1921,5,14,326,students:despite:schools:truancy:years:initiatives:aimed:absenteeism:rates:across
031x2.txt,2426,1,17,424,review:laws:murder:uk:law:home:secretary:commission:report:legislation
032x2.txt,1152,10,1,178,protests:ban:newcastle:countryside:alliance:thousands:expected:rally:news:online
033x2.txt,1695,4,9,288,airport:local:expansion:pressure:stansted:runway:new:political:leaders:opposition
034x2.txt,1762,6,13,304,government:law:decision:homeowners:amending:greater:opposition:parties:even:current
035x2.txt,947,1,7,168,turkey:eu:talks:blair:uk:british:prime:minister:tony:met
036x2.txt,2013,6,13,358,clegg:voters:political:liberal:however:year:parties:fear:party:hope
037x2.txt,610,1,4,114,miliband:labour:party:expected:foreign:david:elected:leader:britain:face
038x2.txt,2166,6,14,389,line:would:event:support:restoration:snp:waverley:ms:towards:scottish
039x2.txt,3484,5,27,603,arts:council:government:review:funding:cultural:wales:pugh:fears:rhys
040x2.txt,4099,9,28,728,johnson:government:detention:mr:terrorism:said:rights:two:people:security
041x2.txt,2944,7,28,546,blunkett:home:secretary:mr:office:many:political:next:one:years
042x2.txt,2858,9,21,522,unions:could:pension:system:workers:age:said:members:review:changes
