name,length,count_paragraphs,count_sentences,count_tokens,keywords
result_1.txt,691,3,5,122,party:mps:howard:government:conservative:would:reduce:number:members:parliament
result_10.txt,1520,7,6,270,labour:party:general:time:sides:election:downing:street:alastair:campbell
result_100.txt,1722,3,16,291,dr:brian:gibbons:health:wales:healthcare:party:minister:government:towards
result_101.txt,1765,3,7,287,national:britain:within:scottish:parliament:may:also:westminster:party:crucial
result_102.txt,1866,4,12,313,union:cameron:would:migration:european:britain:could:tougher:mr:refugee
result_103.txt,1164,1,5,196,government:iraq:prime:minister:tony:blair:debate:use:political:influence
result_104.txt,2604,8,18,459,sir:john:made:knighthood:secretary:david:blunkett:work:decisions:immigration
result_105.txt,1184,3,7,201,government:mcdonald:senior:without:five:lawyers:lawyer:attacked:laws:saying
result_106.txt,1769,5,11,304,election:young:people:politics:education:pupils:mock:according:students:engage
result_107.txt,786,2,5,140,economics:takes:centre:stage:hustings:uk:faces:critical:decision:weeks
result_108.txt,130,1,1,25,teens:little:politics:shown:teenagers:questioned:surveyed:question
result_109.txt,2480,7,14,418,casinos:gambling:government:tessa:jowell:culture:media:sport:announcement:decision
result_11.txt,1259,3,9,203,hunters:activities:practices:hunts:news:article:example:final:days:take
result_110.txt,1994,4,15,355,tax:cuts:conservative:one:taxes:tories:business:today:political:details
result_111.txt,866,2,7,153,taxes:government:political:climate:across:britain:currently:dominated:debates:policies
result_112.txt,631,1,4,102,blair:turkey:eu:hails:talks:deal:advocates:peaceful:relationship:nations
result_113.txt,1348,3,9,238,kennedy:kenneth:east:first:member:parliament:attention:party:new:years
result_114.txt,1056,2,4,176,budget:giveaways:ed:balls:brown:ally:rejecting:spree:says:ahead
result_115.txt,1931,1,12,325,taxes:kennedy:public:liberal:greater:taxation:information:parties:see:government
result_116.txt,1374,1,10,234,government:proposals:mp:many:jones:opposition:strongly:condemned:give:police
result_117.txt,79,1,1,16,custody:could:exploit:delays:child:access:system:say:mp
result_118.txt,1432,1,8,226,government:public:due:hours:opposition:conservative:party:expressed:strong:disapproval
result_119.txt,541,1,1,86,schools:citizenship:education:watchdog:html:head:title:news:article:body
result_12.txt,1699,4,11,296,smith:party:john:communication:lib:liberal:democrats:new:dems:comes
result_120.txt,3187,2,11,519,howard:conservatives:government:citizens:mr:wrong:issues:nation:michael:leader
result_121.txt,770,1,5,139,campaign:derek:wyatt:conservative:election:eye:general:labour:pleased:conservatives
result_122.txt,277,1,2,49,hospital:waiting:times:patients:wales:set:cut:new:government:initiative
result_123.txt,1156,2,1,273,words:word:content:paragraph:set:import:beautifulsoup:html:p:sentences
result_124.txt,1773,5,12,328,eu:referendum:many:argue:remain:part:european:union:one:nation
result_125.txt,2163,1,9,347,four:guantanamo:bay:given:administration:recent:decision:announced:british:men
result_126.txt,2130,5,18,392,government:job:measures:public:jobs:tuc:quality:also:many:people
result_127.txt,1639,4,6,254,retirement:news:article:politics:five:major:uk:political:parties:come
result_128.txt,2480,6,17,438,democrats:party:liberal:election:lds:general:liberals:current:seats:could
result_129.txt,2548,6,15,422,ukip:attack:surrounding:slurry:kelly:one:many:eu:within:future
result_13.txt,1833,4,10,299,sic:investigation:livingstone:mayor:office:remarks:launch:politicians:mr:conduct
result_130.txt,2060,8,7,390,list:using:file:characters:sublist:johnson:text:comprehension:unique:words
result_131.txt,342,1,2,62,political:robert:show:host:turned:candidate:recently:revealed:would:challenging
result_132.txt,1667,3,11,270,people:visit:president:brown:economic:african:visited:kenyas:largest:informal
result_133.txt,35,1,1,6,tory:leader:quits:legal:position
result_134.txt,1370,3,9,242,blunkett:liberal:democrats:made:secretary:prime:minister:davies:inquiry:called
result_135.txt,5,1,1,3,
result_136.txt,2764,2,14,460,time:rights:liberty:immigration:british:government:society:united:kingdom:accused
result_137.txt,1183,3,8,211,deal:turkey:seen:blair:prove:news:article:help:world:peace
result_138.txt,951,1,4,153,united:nuclear:kingdom:uk:states:need:accept:terrorism:risks:remain
result_139.txt,1861,1,17,323,many:cabinet:members:government:services:would:local:areas:funding:another
result_14.txt,2103,7,16,343,party:make:conservatives:quangos:conservative:eliminate:established:government:similarly:businesses
result_140.txt,1537,3,9,269,election:tony:blair:office:years:parties:coalition:general:recent:united
result_141.txt,2388,5,15,420,prisoners:political:bay:without:many:human:rights:detainees:guantanamo:united
result_142.txt,328,1,2,57,would:union:workers:unions:idea:behind:proposed:merger:create:one
result_143.txt,1930,1,10,338,callaghan:today:minister:lord:age:time:britain:following:election:political
result_144.txt,624,1,3,108,eu:labour:heavily:criticized:lack:transparency:dishonesty:promoting:european:union
result_145.txt,1685,3,12,276,malik:mr:recent:bme:within:party:towards:despite:times:calls
result_146.txt,1160,1,8,203,fuel:duty:costs:prices:rising:living:chancellor:gordon:brown:today
result_147.txt,2347,1,16,416,labour:party:election:within:two:members:book:member:parliament:mp
result_148.txt,977,2,5,172,fox:tony:blair:party:london:uk:exclusive:interview:friday:liberal
result_149.txt,1966,5,12,333,identity:cards:would:whether:conservative:stance:taken:forward:government:many
result_15.txt,1226,2,6,207,jack:mcconnel:leader:conservative:party:recently:found:center:unexpected:controversy
result_150.txt,2734,5,12,433,labour:calls:place:media:parties:specifically:unsolicited:privacy:lds:electoral
result_151.txt,188,1,4,36,uk:rwanda:aid:offers:support:rape:victims:british:aims:assist
result_152.txt,1227,1,5,200,may:conservative:theresa:elections:today:party:political:government:would:eu
result_153.txt,1889,5,9,312,workers:day:scottish:politicians:move:protect:holidays:year:christmas:whitefield
result_154.txt,1538,1,10,260,parties:voters:party:elections:candidates:make:based:republican:democratic:country
result_155.txt,1394,2,7,231,unions:union:strikes:years:old:upcoming:political:negotiations:come:attempt
result_156.txt,78,1,1,11,title:tory:candidate:resigns:controversial:remark:category:politics
result_157.txt,25,1,1,4,news:article:politics
result_158.txt,1980,5,20,348,immigration:issue:england:since:migration:immigrants:system:despite:recent:days
result_159.txt,2054,6,12,347,lord:government:reforms:falconer:chancellor:mental:capacity:come:act:process
result_16.txt,2208,1,12,391,ps:cd:aj:among:allegations:change:whether:latest:political:scandal
result_160.txt,672,2,3,147,article:art:word:topics:economy:uk:import:random:def:politics
result_161.txt,1803,1,7,285,cameron:today:prime:leader:government:may:secretary:breaking:news:former
result_162.txt,107,1,1,20,news:article:politics:starting:words:tory:expert:denies:defeat:warning
result_163.txt,1374,2,8,240,mongrel:hain:labour:despite:response:michael:howard:hit:back:described
result_164.txt,2658,5,22,474,wedding:many:marriage:charles:diana:monarchy:prince:lady:love:soon
result_165.txt,2075,1,12,331,blair:mr:would:individuals:home:detention:potential:hdc:high:risk
result_166.txt,2678,1,19,418,politicians:trust:information:public:political:britain:promises:toward:remain:nato
result_167.txt,1733,4,12,303,dome:millennium:british:government:million:pounds:cultural:public:opening:despite
result_168.txt,957,1,6,150,justice:council:murder:sentencing:guidelines:woolf:case:reevaluating:england:wales
result_169.txt,2051,12,13,352,government:quangos:report:quango:system:money:according:study:ifg:made
result_17.txt,148,1,1,24,tony:blair:asked:help:developing:countries:including:ending:crippling:debts
result_170.txt,1823,4,11,332,would:eu:treaty:referendum:europe:european:union:much:states:uk
result_171.txt,2194,7,10,356,minister:kelly:education:new:truancy:rates:class:measures:news:article
result_172.txt,2591,6,16,402,labour:campaigns:elections:parties:regulations:calls:commission:election:icesr:voters
result_173.txt,1465,4,10,245,two:agreement:new:solutions:could:united:kingdom:uk:welcomes:today
result_174.txt,852,1,5,153,strike:state:united:kingdom:largest:civil:service:trade:union:set
result_175.txt,2696,6,21,458,policy:health:conservative:party:tb:spread:checks:medical:would:public
result_176.txt,1360,6,7,230,labour:may:announced:power:measures:next:tories:attacked:dodging:accountability
