name,length,count_sentences,count_tokens,sentences
001.txt,2601,19,511,"It would mean paid leave would be increased to nine months by 2007, Ms Hewitt told GMTV's Sunday programme. Other plans include letting maternity pay be given to fathers and extending rights to parents of older children."
002.txt,2326,19,425,"Richard Thomas ""totally condemned"" the deletion of e-mails to prevent their disclosure under freedom of information laws coming into force on 1 January. Government guidance said e-mails should only be deleted if they served ""no current purpose"", Mr Thomas said."
003.txt,3109,26,604,"Patricia Hewitt said the cost of the proposals was being evaluated, but it was an ""increasingly high priority"" and a ""shared goal across government"". Ms Hewitt was speaking at a gender and productivity seminar organised by the Equal Opportunities Commission (EOC)."
004.txt,1471,13,277,The much trailed decision was ratified by Labour's ruling National Executive Committee in a break with the traditional choice of a seaside venue. It will be the first time since 1917 that the party has chosen Manchester to host the annual event.
005.txt,2860,24,579,"Ed Balls, ex-chief economic adviser to the Treasury, said there would be no spending spree before polling day. But Mr Balls, a prospective Labour MP, said he was confident the chancellor would meet his fiscal rules."
006.txt,2008,15,386,The report said too many parties were involved in decision-making when the attraction first went on sale after the Millennium exhibition ended. The National Audit Office said the Dome cost taxpayers Â£28.7m to maintain and sell in the four years after it closed.
007.txt,2990,21,593,"Tory co-chairman Liam Fox was speaking after Mr Blair told Labour members the Tories offered a ""hard right agenda"". Dr Fox told BBC Radio: ""If you are willing to lie about the reasons for going to war, I guess you are going to lie about anything at all."""
008.txt,3117,23,628,"Male MPs pretended to juggle imaginary breasts and jeered ""melons"" as women made Commons speeches, researchers from Birkbeck College were told. Labour's Yvette Cooper said she found it hard to persuade Commons officials she was a minister and not a secretary."
009.txt,3198,32,616,"Mr Campbell sent the missive by mistake to BBC2's Newsnight after it sought to question his role in Labour's controversial poster campaign. He later contacted the show saying the original e-mail had been sent in error and that it was all a ""silly fuss""."
010.txt,1177,10,206,"The government has plans for up to eight Las Vegas style resorts in the UK, one of which is likely to be in Glasgow. Scottish ministers insist they will still have the final say on whether a super-casino will be built in Scotland."
011.txt,1647,16,322,"Mrs Howard will make solo visits to target seats as well as accompanying her husband on his helicopter campaign trail criss-crossing the country. Mr Howard will host a news conference at the party's London HQ every morning, Tory co-chairman Liam Fox said."
012.txt,2519,24,488,"The prime minister was commenting on the wrongful jailing of 11 people for IRA bomb attacks on pubs in Guildford and Woolwich in 1974. Mr Blair said: ""I am very sorry that they were subject to such an ordeal and injustice."""
013.txt,3270,25,651,"Mr Howard, whose parents fled the Nazi threat to come to the UK, says the claim would mean no-one from an immigrant family could become premier. His comments come in a BBC documentary called 'No More Mr Nasty'."
014.txt,2770,23,536,"The Tories wanted a sunset clause inserted in the Anti-Terrorism Bill that would have forced ministers to revisit it in November. Mr Blair said the bill, which brings in house arrest for terror suspects, had time limiting safeguards already."
015.txt,1015,8,176,"Officials at the two-day summit at the foreign secretary's official Kent house, Chevening, will plan a new forum on the Rock's future. In October, Mr Straw and his Spanish counterpart Miguel Moratinos agreed to establish a body that would give Gibraltarians a voice in their future."
016.txt,1505,11,268,"There was an ""absolute crisis"" in the recruitment of statisticians and other social science experts, the Commons science and technology committee added. ""Major problems"" are expected over the next 10 years as the social science workforce continues to age, it said."
017.txt,996,8,182,"The agreement by the G8 group of wealthy nations would save affected countries Â£3bn pounds a year, he said. The deal is thought to have been hammered out on Thursday night after Japan, one of the biggest creditor nations, finally signed up to it."
018.txt,1615,12,299,"Prince Edward will also join the UK delegation in Poland for National Holocaust Memorial Day on 27 January. Between 1.1 and 1.5 million people, mainly Jews, were killed at Auschwitz."
019.txt,3708,27,719,"Jack Law, chief executive of Alcohol Focus Scotland, said Jack McConnell's comment was ""ill-advised"". The media attention had helped to move the focus from Scotland's binge drinking problems, Mr Law said."
